표기 원문,표준명,카테고리,대체가능군,유형,비고
고춧가루,고춧가루,양념,-,정상,
고추가루,고춧가루,양념,-,오탈자,맞춤법 오류
고추가룻,고춧가루,양념,-,오탈자,오타
다진마늘,다진마늘,양념,마늘,정상,
다진 마늘,다진마늘,양념,마늘,띄어쓰기,공백 차이
간장,진간장,양념,-,모호,어떤 간장인지 불명 - 확인 필요
진간장,진간장,양념,-,정상,
국간장,국간장,양념,-,정상,진간장과 대체 불가
된장,된장,양념,-,정상,
토장,된장,양념,-,별칭,본문에 토장(된장)으로 병기
액젓,멸치액젓,양념,까나리액젓,상위어,종류 미지정
멸치액젓,멸치액젓,양념,까나리액젓,정상,
참치액,참치액,양념,-,정상,
맛소금,소금,양념,-,별칭,
깨소금,깨,양념,-,정상,
설탕,설탕,양념,올리고당/알룰로스,정상,
올리고당,올리고당,양념,설탕/알룰로스,정상,
알룰로스,알룰로스,양념,설탕/올리고당,정상,
굴소스,굴소스,양념,-,정상,
고추장,고추장,양념,-,정상,
식초,식초,양념,-,정상,
맛술,맛술,양념,-,정상,
참기름,참기름,양념,-,정상,
연겨자,연겨자,양념,-,정상,
후추,후추,양념,-,정상,
삼겹살,삼겹살,육류,돼지고기,하위어,돼지고기의 부위
항정살,항정살,육류,돼지고기,하위어,돼지고기의 부위
돼지고기,돼지고기,육류,-,상위어,부위 미지정
부채살,부채살,육류,소고기,하위어,본문에서는 소고기로 지칭 - 불일치
우삼겹,우삼겹,육류,소고기,하위어,소고기의 부위
소고기,소고기,육류,-,상위어,부위 미지정
닭다리,닭,육류,닭,하위어,"DB속성은 닭, 본문은 닭다리 - 불일치"
리챔,런천미트,가공식품,스팸,브랜드명,"DB속성은 스팸, 본문은 리챔 - 불일치"
스팸,런천미트,가공식품,리챔,브랜드명,
대파,대파,채소,-,정상,쪽파/실파와 구분 필요
양파,양파,채소,-,정상,
애호박,애호박,채소,-,정상,
감자,감자,채소,-,정상,
무,무,채소,-,정상,1글자 - 문자열 매칭 시 오탐 위험
청양고추,청양고추,채소,-,정상,
부추,부추,채소,-,정상,
콩나물,콩나물,채소,숙주,정상,
팽이버섯,팽이버섯,채소,-,정상,
김치,김치,저장식품,묵은지,정상,묵은지 여부는 별도 속성
두부,두부,가공식품,-,정상,순두부와 구분 필요
쌀뜨물,쌀뜨물,기타,물,조리부산물,구매 대상 아님 - 장보기 제외
물,물,기타,-,비구매,장보기 목록 제외 대상
